date,nav
2021-10-26,1.0
2021-10-29,1.0001
2021-11-01,1.0003
2021-11-02,1.0003
2021-11-03,1.0003
2021-11-04,1.0004
2021-11-05,1.0006
2021-11-08,1.0007
2021-11-09,1.0009
2021-11-10,1.0011
2021-11-11,1.0011
2021-11-12,1.0012
2021-11-15,1.0015
2021-11-16,1.0016
2021-11-17,1.0016
2021-11-18,1.0017
2021-11-19,1.0018
2021-11-22,1.002
2021-11-23,1.002
2021-11-24,1.0021
2021-11-25,1.0021
2021-11-26,1.0023
2021-11-29,1.0025
2021-11-30,1.0025
2021-12-01,1.0026
2021-12-02,1.0026
2021-12-03,1.0027
2021-12-06,1.0031
2021-12-07,1.0031
2021-12-08,1.0031
2021-12-09,1.0032
2021-12-10,1.0033
2021-12-13,1.0035
2021-12-14,1.0035
2021-12-15,1.0036
2021-12-16,1.0035
2021-12-17,1.0037
2021-12-20,1.0038
2021-12-21,1.0037
2021-12-22,1.004
2021-12-23,1.0043
2021-12-24,1.0043
2021-12-27,1.0046
2021-12-28,1.0044
2021-12-29,1.0048
2021-12-30,1.0049
2021-12-31,1.0052
2022-01-04,1.0055
2022-01-05,1.0056
2022-01-06,1.0057
2022-01-07,1.0058
2022-01-10,1.0059
2022-01-11,1.006
2022-01-12,1.0061
2022-01-13,1.0062
2022-01-14,1.0063
2022-01-17,1.0069
2022-01-18,1.0074
2022-01-19,1.0084
2022-01-20,1.0083
2022-01-21,1.0086
2022-01-24,1.01
2022-01-25,1.01
2022-01-26,1.01
2022-01-27,1.01
2022-01-28,1.0101
2022-02-07,1.0108
2022-02-08,1.0111
2022-02-09,1.0112
2022-02-10,1.0114
2022-02-11,1.0115
2022-02-14,1.0117
2022-02-15,1.0117
2022-02-16,1.0117
2022-02-17,1.0117
2022-02-18,1.0116
2022-02-21,1.0116
2022-02-22,1.0116
2022-02-23,1.0116
2022-02-24,1.0117
2022-02-25,1.0117
2022-02-28,1.0119
2022-03-01,1.0119
2022-03-02,1.0118
2022-03-03,1.0117
2022-03-04,1.0118
2022-03-07,1.012
2022-03-08,1.0121
2022-03-09,1.012
2022-03-10,1.012
2022-03-11,1.0121
2022-03-14,1.0123
2022-03-15,1.0122
2022-03-16,1.0121
2022-03-17,1.0122
2022-03-18,1.0124
2022-03-21,1.0126
2022-03-22,1.0125
2022-03-23,1.0125
2022-03-24,1.0126
2022-03-25,1.0126
2022-03-28,1.0128
2022-03-29,1.0129
2022-03-30,1.013
2022-03-31,1.0131
2022-04-01,1.0133
2022-04-06,1.0136
2022-04-07,1.0137
2022-04-08,1.0138
2022-04-11,1.0139
2022-04-12,1.014
2022-04-13,1.014
2022-04-14,1.0142
2022-04-15,1.0143
2022-04-18,1.0146
2022-04-19,1.0148
2022-04-20,1.0148
2022-04-21,1.015
2022-04-22,1.0151
2022-04-25,1.0153
2022-04-26,1.0154
2022-04-27,1.0155
2022-04-28,1.0155
2022-04-29,1.0155
2022-05-05,1.0159
2022-05-06,1.0159
2022-05-09,1.016
2022-05-10,1.0162
2022-05-11,1.0163
2022-05-12,1.0165
2022-05-13,1.0166
2022-05-16,1.0168
2022-05-17,1.0169
2022-05-18,1.0172
2022-05-19,1.0172
2022-05-20,1.0173
2022-05-23,1.0174
2022-05-24,1.0175
2022-05-25,1.0175
2022-05-26,1.0177
2022-05-27,1.0178
2022-05-30,1.0179
2022-05-31,1.0178
2022-06-01,1.0178
2022-06-02,1.0177
2022-06-06,1.0175
2022-06-07,1.0174
2022-06-08,1.0175
2022-06-09,1.0175
2022-06-10,1.0177
2022-06-13,1.0177
2022-06-14,1.0179
2022-06-15,1.018
2022-06-16,1.0182
