date,nav
2016-10-19,0.6758
2016-10-20,0.6758
2016-10-21,0.6757
2016-10-22,0.6757
2016-10-23,0.6756
2016-10-24,0.6756
2016-10-25,0.6755
2016-10-26,0.6755
2016-10-27,0.6754
2016-10-28,0.6754
2016-10-29,0.6753
2016-10-30,0.6753
2016-10-31,0.6753
2016-11-01,0.6737
2016-11-02,0.672
2016-11-03,0.6706
2016-11-04,0.6628
2016-11-05,0.6697
2016-11-06,0.6696
2016-11-07,0.6703
2016-11-08,0.6707
2016-11-09,0.6737
2016-11-10,0.6716
2016-11-11,0.6726
2016-11-12,0.6726
2016-11-13,0.6726
2016-11-14,0.6703
2016-11-15,0.6706
2016-11-16,0.6709
2016-11-17,0.6716
2016-11-18,0.7607
2016-11-19,0.7606
2016-11-20,0.7606
2016-11-21,0.7606
2016-11-22,0.7753
2016-11-23,0.7739
2016-11-24,0.7668
2016-11-25,0.7745
2016-11-26,0.7672
2016-11-27,0.7672
2016-11-28,0.7817
2016-11-29,0.7965
2016-11-30,0.7719
2016-12-01,0.7189
2016-12-02,0.8057
2016-12-03,0.8056
2016-12-04,0.8056
2016-12-05,0.8055
2016-12-06,0.8384
2016-12-07,0.8513
2016-12-08,0.8234
2016-12-09,0.7856
2016-12-10,0.8486
2016-12-11,0.8486
2016-12-12,0.8672
2016-12-13,0.5214
2016-12-14,0.8858
2016-12-15,0.8693
2016-12-16,0.9269
2016-12-17,0.9292
2016-12-18,0.9291
2016-12-19,1.1576
2016-12-20,1.189
2016-12-21,1.2047
2016-12-22,1.2632
2016-12-23,1.3119
2016-12-24,1.3033
2016-12-25,1.3032
2016-12-26,1.116
2016-12-27,1.0992
2016-12-28,1.0521
2016-12-29,0.9906
2016-12-30,1.1437
2016-12-31,1.1457
2017-01-01,1.1413
2017-01-02,1.1412
2017-01-03,1.0802
2017-01-04,1.0115
2017-01-05,0.8684
2017-01-06,0.9272
2017-01-07,0.7108
2017-01-08,0.7139
2017-01-09,0.7201
2017-01-10,0.8714
2017-01-11,0.9031
2017-01-12,0.863
2017-01-13,0.8505
2017-01-14,0.8426
2017-01-15,0.8425
2017-01-16,0.8423
2017-01-17,0.8651
2017-01-18,0.92
2017-01-19,1.0239
2017-01-20,1.073
2017-01-21,1.0721
2017-01-22,1.072
2017-01-23,1.1074
2017-01-24,1.1924
2017-01-25,1.1096
2017-01-26,1.0879
2017-01-27,1.0826
2017-01-28,1.0825
2017-01-29,1.0824
2017-01-30,1.0823
2017-01-31,1.0821
2017-02-01,1.0829
2017-02-02,1.0828
2017-02-03,1.0806
2017-02-04,1.0793
2017-02-05,1.0792
2017-02-06,0.9467
2017-02-07,1.0776
2017-02-08,0.9771
2017-02-09,0.9552
2017-02-10,0.9757
2017-02-11,0.9718
2017-02-12,0.9717
2017-02-13,0.9915
2017-02-14,1.0015
2017-02-15,0.9699
2017-02-16,0.9943
2017-02-17,1.0424
2017-02-18,1.0423
2017-02-19,1.0421
2017-02-20,1.042
2017-02-21,1.066
2017-02-22,1.0591
2017-02-23,1.0832
2017-02-24,1.0938
2017-02-25,1.0916
2017-02-26,1.0915
2017-02-27,1.1024
2017-02-28,1.0848
2017-03-01,1.087
2017-03-02,1.1017
2017-03-03,1.0805
2017-03-04,1.0792
2017-03-05,1.0791
2017-03-06,1.078
2017-03-07,1.0696
2017-03-08,1.0698
2017-03-09,1.0414
2017-03-10,1.0139
2017-03-11,1.0136
2017-03-12,1.0135
2017-03-13,0.996
2017-03-14,0.9939
2017-03-15,1.0376
2017-03-16,1.056
2017-03-17,1.0402
2017-03-18,1.0412
2017-03-19,1.0411
2017-03-20,1.0302
2017-03-21,1.0235
2017-03-22,1.0216
2017-03-23,1.0546
2017-03-24,1.0994
2017-03-25,1.0994
2017-03-26,1.0993
2017-03-27,1.1408
2017-03-28,1.1921
2017-03-29,1.1515
2017-03-30,1.3817
2017-03-31,1.2397
2017-04-01,1.2376
2017-04-02,1.2375
2017-04-03,1.2374
2017-04-04,1.2373
2017-04-05,1.2053
2017-04-06,1.1363
2017-04-07,1.222
2017-04-08,1.0247
2017-04-09,1.0247
2017-04-10,1.0438
2017-04-11,1.0635
2017-04-12,1.0514
2017-04-13,1.0461
2017-04-14,1.047
2017-04-15,1.044
2017-04-16,1.0439
2017-04-17,1.0322
2017-04-18,1.0405
2017-04-19,1.0499
2017-04-20,1.0578
2017-04-21,1.0771
2017-04-22,1.072
2017-04-23,1.0719
2017-04-24,1.0801
2017-04-25,1.09
2017-04-26,1.125
2017-04-27,0.9096
2017-04-28,1.1789
2017-04-29,1.1774
2017-04-30,1.1773
2017-05-01,1.1772
2017-05-02,1.181
2017-05-03,1.1607
2017-05-04,1.1474
2017-05-05,1.1134
2017-05-06,1.1127
2017-05-07,1.1126
2017-05-08,1.0988
2017-05-09,1.1038
2017-05-10,1.1096
2017-05-11,1.1064
2017-05-12,1.1005
2017-05-13,1.0822
2017-05-14,1.0821
2017-05-15,1.1007
2017-05-16,1.1051
2017-05-17,1.1012
2017-05-18,1.1052
2017-05-19,1.113
2017-05-20,1.1088
2017-05-21,1.1087
2017-05-22,1.1198
2017-05-23,1.1237
2017-05-24,1.1281
2017-05-25,1.1513
2017-05-26,1.1447
2017-05-27,1.143
2017-05-28,1.1429
2017-05-29,1.1428
2017-05-30,1.1427
2017-05-31,1.1443
2017-06-01,1.1459
2017-06-02,1.1477
2017-06-03,1.1468
2017-06-04,1.1467
2017-06-05,1.1451
2017-06-06,1.1475
2017-06-07,1.1439
2017-06-08,1.1595
2017-06-09,1.1456
2017-06-10,1.1445
2017-06-11,1.1444
2017-06-12,1.14
2017-06-13,1.1583
2017-06-14,1.1589
2017-06-15,1.1159
2017-06-16,1.1671
2017-06-17,1.1641
2017-06-18,1.1639
2017-06-19,1.1392
2017-06-20,1.1555
2017-06-21,1.207
2017-06-22,1.1793
2017-06-23,1.1835
2017-06-24,1.1837
2017-06-25,1.1836
2017-06-26,1.1911
2017-06-27,1.2172
2017-06-28,1.217
2017-06-29,1.2602
2017-06-30,1.2574
2017-07-01,1.2514
2017-07-02,1.2512
2017-07-03,1.2624
2017-07-04,1.2462
2017-07-05,1.2088
2017-07-06,1.1942
2017-07-07,1.1523
2017-07-08,1.1461
2017-07-09,1.1459
2017-07-10,1.1781
2017-07-11,1.1337
2017-07-12,1.119
2017-07-13,1.1215
2017-07-14,1.1002
2017-07-15,1.098
2017-07-16,1.0979
2017-07-17,1.0955
2017-07-18,1.0917
2017-07-19,1.0909
2017-07-20,1.0979
2017-07-21,1.1052
2017-07-22,1.1043
2017-07-23,1.1042
2017-07-24,1.0962
2017-07-25,1.1038
2017-07-26,1.0971
2017-07-27,1.1156
2017-07-28,1.122
2017-07-29,1.1217
2017-07-30,1.1216
2017-07-31,1.138
2017-08-01,1.1243
2017-08-02,1.1325
2017-08-03,1.1283
2017-08-04,1.1151
2017-08-05,1.1132
2017-08-06,1.1131
2017-08-07,1.1148
2017-08-08,1.1231
2017-08-09,1.1106
2017-08-10,1.0787
2017-08-11,1.0807
2017-08-12,1.0702
2017-08-13,1.0701
2017-08-14,1.0877
2017-08-15,1.0867
2017-08-16,1.0888
2017-08-17,1.0904
2017-08-18,1.1154
2017-08-19,1.1149
2017-08-20,1.1148
2017-08-21,1.119
2017-08-22,1.1177
2017-08-23,1.1169
2017-08-24,1.1352
2017-08-25,1.1285
2017-08-26,1.1254
2017-08-27,1.1253
2017-08-28,1.1339
2017-08-29,1.1363
2017-08-30,1.1252
2017-08-31,1.1436
2017-09-01,1.1369
2017-09-02,1.1362
2017-09-03,1.1361
2017-09-04,1.1295
2017-09-05,1.1283
2017-09-06,1.1531
2017-09-07,1.1504
2017-09-08,1.1455
2017-09-09,1.1457
2017-09-10,1.1456
2017-09-11,1.1295
2017-09-12,1.1161
2017-09-13,1.1429
2017-09-14,1.1427
2017-09-15,1.1458
2017-09-16,1.1081
2017-09-17,1.1018
2017-09-18,1.1332
2017-09-19,1.1377
2017-09-20,1.1445
2017-09-21,1.1226
2017-09-22,1.1551
2017-09-23,1.1636
2017-09-24,1.1635
2017-09-25,1.1663
2017-09-26,1.1382
2017-09-27,1.2313
2017-09-28,1.2957
2017-09-29,1.3146
2017-09-30,1.3138
2017-10-01,1.3137
2017-10-02,1.3135
2017-10-03,1.3134
2017-10-04,1.3132
2017-10-05,1.313
2017-10-06,1.3053
2017-10-07,1.2832
2017-10-08,1.2831
2017-10-09,1.3069
2017-10-10,1.2477
2017-10-11,1.1811
2017-10-12,1.1534
2017-10-13,1.1758
2017-10-14,1.1719
2017-10-15,1.1717
2017-10-16,1.2001
2017-10-17,1.177
2017-10-18,1.1625
2017-10-19,1.1567
2017-10-20,1.168
2017-10-21,1.165
2017-10-22,1.1649
2017-10-23,1.1808
2017-10-24,1.1743
2017-10-25,1.1606
2017-10-26,1.1464
2017-10-27,1.1377
2017-10-28,1.1377
2017-10-29,1.1376
2017-10-30,1.1559
2017-10-31,1.166
2017-11-01,1.1863
2017-11-02,1.1373
2017-11-03,1.1171
2017-11-04,1.114
2017-11-05,1.1139
2017-11-06,1.0953
2017-11-07,1.0404
2017-11-08,1.0024
2017-11-09,0.9936
2017-11-10,1.072
2017-11-11,1.1021
2017-11-12,1.102
2017-11-13,1.0822
2017-11-14,1.122
2017-11-15,1.1194
2017-11-16,1.1287
2017-11-17,1.1333
2017-11-18,1.1334
2017-11-19,1.1333
2017-11-20,1.1375
2017-11-21,1.1325
2017-11-22,1.1355
2017-11-23,1.1511
2017-11-24,1.1548
2017-11-25,1.1564
2017-11-26,1.1563
2017-11-27,1.1657
2017-11-28,1.1664
2017-11-29,1.1628
2017-11-30,1.1546
2017-12-01,1.1585
2017-12-02,1.1581
2017-12-03,1.158
2017-12-04,1.1423
2017-12-05,1.152
2017-12-06,1.3205
2017-12-07,1.0378
2017-12-08,1.1481
2017-12-09,1.147
2017-12-10,1.1469
2017-12-11,1.1339
2017-12-12,1.1738
2017-12-13,1.1812
2017-12-14,1.1701
2017-12-15,1.1821
2017-12-16,1.1841
2017-12-17,1.184
2017-12-18,1.1868
2017-12-19,1.2063
2017-12-20,1.1979
2017-12-21,1.2087
2017-12-22,1.2091
2017-12-23,1.2101
2017-12-24,1.2099
2017-12-25,1.1977
2017-12-26,1.2301
2017-12-27,1.278
2017-12-28,1.1981
2017-12-29,1.0628
2017-12-30,1.0605
2017-12-31,1.0604
2018-01-01,1.0592
2018-01-02,1.2165
2018-01-03,1.3352
2018-01-04,1.0439
2018-01-05,1.1788
2018-01-06,1.1737
2018-01-07,1.1736
2018-01-08,1.0474
2018-01-09,1.178
2018-01-10,1.1924
2018-01-11,1.0659
2018-01-12,1.1666
2018-01-13,1.0889
2018-01-14,1.0888
2018-01-15,1.0751
2018-01-16,1.1262
2018-01-17,1.1691
2018-01-18,1.1774
2018-01-19,1.1836
2018-01-20,1.1531
2018-01-21,1.153
2018-01-22,1.2005
2018-01-23,1.2889
2018-01-24,1.2425
2018-01-25,1.1609
2018-01-26,1.2162
2018-01-27,1.2031
2018-01-28,1.203
2018-01-29,1.2087
2018-01-30,1.2117
2018-01-31,1.1986
2018-02-01,1.2095
2018-02-02,1.1189
2018-02-03,1.1593
2018-02-04,1.1592
2018-02-05,1.199
2018-02-06,1.0025
2018-02-07,1.1749
2018-02-08,1.1818
2018-02-09,1.2075
2018-02-10,1.2082
2018-02-11,1.2082
2018-02-12,1.4545
2018-02-13,1.2244
2018-02-14,1.2121
2018-02-15,1.2106
2018-02-16,1.2105
2018-02-17,1.2104
2018-02-18,1.2103
2018-02-19,1.2102
2018-02-20,1.2101
2018-02-21,1.21
2018-02-22,1.2047
2018-02-23,1.1898
2018-02-24,1.1884
2018-02-25,1.1765
2018-02-26,0.9812
2018-02-27,1.18
2018-02-28,1.1664
2018-03-01,1.1905
2018-03-02,1.1954
2018-03-03,1.1933
2018-03-04,1.1932
2018-03-05,1.2119
2018-03-06,1.0791
2018-03-07,1.1812
2018-03-08,1.0998
2018-03-09,1.142
2018-03-10,1.1686
2018-03-11,1.1686
2018-03-12,1.1444
2018-03-13,1.2001
2018-03-14,1.0948
2018-03-15,1.2014
2018-03-16,1.1978
2018-03-17,1.1971
2018-03-18,1.197
2018-03-19,1.1969
2018-03-20,1.2002
2018-03-21,1.2133
2018-03-22,1.3557
2018-03-23,1.1979
2018-03-24,1.1968
2018-03-25,1.1967
2018-03-26,1.1772
2018-03-27,1.4798
2018-03-28,1.4677
2018-03-29,2.0295
2018-03-30,2.2867
2018-03-31,1.3982
2018-04-01,1.3981
2018-04-02,1.2133
2018-04-03,1.1814
2018-04-04,1.0492
2018-04-05,1.0347
2018-04-06,1.0346
2018-04-07,1.0346
2018-04-08,1.0345
2018-04-09,1.0526
2018-04-10,1.0158
2018-04-11,1.0264
2018-04-12,1.0067
2018-04-13,0.9965
2018-04-14,0.9965
2018-04-15,0.9965
2018-04-16,0.9975
2018-04-17,1.0076
